ItemName,Description,Value
Institution Name,,"GOLDMAN SACHS GROUP, INC., THE"
Street Address,,200 WEST STREET
City,,NEW YORK
State,,NY
Zip Code,,10282
ID_RSSD,Reporting entity identifier,2380443
Report Date,,"September 30, 2025"
MRRRC490,PRINTED NAME OF SENIOR OFFICER,Sheara Fredman
MRRRC491,TITLE OF OFFICER,Managing Director
MRRRJ196,DATE OF SIGNATURE,11/06/2025
MRRR8901,NAME/TITLE OF PERSON TO WHOM QUESTIONS SHOULD BE DIRECTED,Lauren Miller
MRRR8902,AREA CODE/PHONE NUMBER OF PERSON TO WHOM QUESTIONS SHOULD BE DIRECTED,917-343-0092
MRRR9116,FAX NUMBER OF PERSON TO WHOM QUESTIONS SHOULD BE DIRECTED,212-256-4367
MRRR4086,EMAIL ADDRESS OF CONTACT TO WHOM QUESTIONS SHOULD BE DIRECTED,Lauren.Miller@gs.com
MRRRS298,PREVIOUS DAYS VAR-BASED MEASURE,407232
MRRRS299,AVERAGE OF THE IMMEDIATELY PRECEDING 60 BUSINESS DAYS VAR-BASED MEASURES,403195
MRRRS300,MULTIPLICATION FACTOR: EQUAL TO A VALUE OF 3.00 OR HIGHER (BASED ON BACKTESTING),3.00
MRRRS301,"GREATER OF ITEM 1, PREVIOUS DAYS VAR-BASED MEASURE, OR (ITEM 2, AVERAGE OF THE IMMEDIATELY PRECEDING 60 BUSINESS DAYS VAR-BASED MEASURES, MULTIPLIED BY ITEM 3, MULTIPLICATION FACTOR: EQUAL TO A VALUE",1209585
MRRRS302,MOST RECENT STRESSED VAR-BASED MEASURE,1083782
MRRRS303,"ITEM 3, MULTIPLICATION FACTOR: EQUAL TO A VALUE OF 3.00 OR HIGHER, TIMES THE AVERAGE OF THE PRECEDING 12 WEEKS STRESSED VAR-BASED MEASURES",3512130
MRRRS304,"GREATER OF ITEM 5, MOST RECENT STRESSED VAR-BASED MEASURE, OR ITEM 6, ITEM 3, MULTIPLICATION FACTOR: EQUAL TO A VALUE OF 3.00 OR HIGHER, TIMES THE AVERAGE OF THE PRECEDING 12 WEEKS STRESSED VAR-BASED",3512130
MRRRS305,SPECIFIC RISK ADD-ONS: DEBT POSITIONS,317730
MRRRS306,SPECIFIC RISK ADD-ONS: EQUITY POSITIONS,105357
MRRRS307,"SPECIFIC RISK ADD-ONS: FOR ALL INSTITUTIONS, CAPITAL REQUIREMENTS FOR SECURITIZATION POSITIONS USING THE SIMPLIFIED SUPERVISORY FORMULA APPROACH (SSFA) OR APPLYING A SPECIFIC RISK-WEIGHTING FACTOR OF",1083084
MRRRS308,"SPECIFIC RISK ADD-ONS: FOR ADVANCED APPROACHES INSTITUTIONS, CAPITAL REQUIREMENTS FOR SECURITIZATION POSITIONS USING THE SUPERVISORY FORMULA APPROACH (SFA)",0
